geo_entity_name,fishing_entity_name,eez_name,fao_area_name,declaration_year,started_eez_at,date_allowed_to_fish_other_eezs,date_allowed_to_fish_high_seas,area,shelf_area,ifa,percentage_of_worlds_coral_reefs,percentage_of_worlds_sea_mounts,ppr
Albania,Albania,Albania,Mediterranean and Black Sea,2002,2002,9999,9999,11105.19125,6090.163133,6090.163133,0,0,505.05
Algeria,Algeria,Algeria,Mediterranean and Black Sea,1994,1994,1982,1982,128842.9483,10524.87918,10462.94092,0,0,473.22
Angola,Angola,Angola,"Atlantic, Southeast",1980,1974,1950,1950,481291.7346,45622.34052,41561.33376,0,0.027,1293.850643
Angola,Angola,Angola,"Atlantic, Eastern Central",1980,1974,1950,1950,9392.35673,5234.3649,4230.249539,0,0,72.67243841
Antigua & Barbuda,Antigua & Barbuda,Antigua & Barbuda,"Atlantic, Western Central",1982,1982,9999,9999,107938.9977,3886.450693,3764.481047,0.063656,0.007,261.21
Argentina,Argentina,Argentina,"Pacific, Southeast",1967,1967,1967,1967,160.2872783,0,94.35134277,0,0,0
Argentina,Argentina,Argentina,"Atlantic, Southwest",1967,1967,1967,1967,1082306.331,795722.4336,198245.9916,0,0.141,1190.953622
Christmas Isl. (Australia),Christmas Isl. (Australia),Christmas Isl. (Australia),"Indian Ocean, Eastern",1979,1979,1950,1950,327992.0036,393.853885,317.4892234,0.081105,0.336,326.98
Heard & McDonald Isl. (Australia),Australia,Heard & McDonald Isl. (Australia),"Indian Ocean, Antarctic",1979,1979,1950,1950,416973.4086,5921.689709,0,0,0.027,312.32
Lord Howe Isl. (Australia),Australia,Lord Howe Isl. (Australia),"Pacific, Southwest",1979,1979,1950,1950,542349.7712,927.0885016,639.9077225,0.040071,0.141,321.64
Cocos (Keeling) Isl. (Australia),Cocos (Keeling) Isl. (Australia),Cocos (Keeling) Isl. (Australia),"Indian Ocean, Eastern",1979,1979,1950,1950,467229.243,479.4443139,185.844813,0.018126,0.215,257.45
Macquarie Isl.,Australia,Macquarie Isl. (Australia),"Pacific, Southwest",1979,1979,1950,1950,477324.8365,824.9147056,387.5897988,0,0.323,269.21
Norfolk Isl. (Australia),Norfolk Isl. (Australia),Norfolk Isl. (Australia),"Pacific, Southwest",1979,1979,1977,1977,430823.862,3752.102336,3030.402332,0,0.141,276.87
Australia,Australia,Australia,"Pacific, Southwest",1979,1979,1950,1950,707361,38471.37811,37929.09476,0.016112,0.175,57.37390328
Australia,Australia,Australia,"Pacific, Western Central",1979,1979,1950,1950,2153651,1007999.004,477935.2445,12.540222,0.309,174.0363523
