scientific_name,common_name,functional_group,commercial_group,tonnes
Engraulis ringens,Anchoveta,Small pelagics (<30 cm),Anchovies,20773534
Anchoviella,Anchovies,Small pelagics (<30 cm),Anchovies,92711
Engraulidae,"Anchovies, round herrings",Small pelagics (<30 cm),Anchovies,7298675
Engraulis anchoita,Argentine anchovy,Small pelagics (<30 cm),Anchovies,161
Cetengraulis edentulus,Atlantic anchoveta,Small pelagics (<30 cm),Anchovies,114386
Anchoa choerostoma,Bermuda anchovy,Small pelagics (<30 cm),Anchovies,125
Anchoa hepsetus,Broadstriped anchovy,Small pelagics (<30 cm),Anchovies,2385
Engraulis mordax,Californian anchovy,Small pelagics (<30 cm),Anchovies,382833
Encrasicholina devisi,Devis anchovy,Small pelagics (<30 cm),Anchovies,4211
Engraulis encrasicolus,European anchovy,Small pelagics (<30 cm),Anchovies,1567680
Stolephorus,Garment anchovies,Small pelagics (<30 cm),Anchovies,5044000
Stolephorus indicus,Indian anchovy,Small pelagics (<30 cm),Anchovies,485
Engraulis japonicus,Japanese anchovy,Small pelagics (<30 cm),Anchovies,18809882
Anchoa nasus,Longnose anchovy,Small pelagics (<30 cm),Anchovies,195690
Cetengraulis mysticetus,Pacific anchoveta,Small pelagics (<30 cm),Anchovies,2790456
Encrasicholina heteroloba,Shorthead anchovy,Small pelagics (<30 cm),Anchovies,19425
Engraulis capensis,Southern African anchovy,Small pelagics (<30 cm),Anchovies,3638990
Anchoa spinifer,Spicule anchovy,Small pelagics (<30 cm),Anchovies,16
Stolephorus waitei,Spotty face anchovy,Small pelagics (<30 cm),Anchovies,485
Anchoa mitchilli,Bay anchovy,Small pelagics (<30 cm),Anchovies,12
Thryssa,Thryssas,Small reef assoc. fish (<30 cm),Anchovies,202035
Merluccius capensis,Shallow-water Cape hake,Large bathydemersals (>=90 cm),Cod-likes,357888
Macrouridae,"Grenadiers, rattails",Large bathypelagics (>=90 cm),Cod-likes,20465
Coryphaenoides rupestris,Roundnose grenadier,Large bathypelagics (>=90 cm),Cod-likes,14
Gadus morhua,Atlantic cod,Large benthopelagics (>=90 cm),Cod-likes,43402
Phycis blennoides,Greater forkbeard,Large benthopelagics (>=90 cm),Cod-likes,7860
Macruronus magellanicus,Patagonian grenadier,Large benthopelagics (>=90 cm),Cod-likes,1594756
Pollachius pollachius,Pollack,Large benthopelagics (>=90 cm),Cod-likes,41284
Merluccius australis,Southern hake,Large benthopelagics (>=90 cm),Cod-likes,701115
Macruronus novaezelandiae,Blue grenadier,Large demersals (>=90 cm),Cod-likes,107832
Molva dypterygia,Blue ling,Large demersals (>=90 cm),Cod-likes,792
Merluccius merluccius,European hake,Large demersals (>=90 cm),Cod-likes,621880
Molva molva,Ling,Large demersals (>=90 cm),Cod-likes,19665
Molva,Lings,Large demersals (>=90 cm),Cod-likes,91
Gadus macrocephalus,Pacific cod,Large demersals (>=90 cm),Cod-likes,1232836
Pollachius virens,Saithe,Large demersals (>=90 cm),Cod-likes,2372
Gaidropsarus,Rocklings,Large reef assoc. fish (>=90 cm),Cod-likes,341
Merluccius,Hakes,Medium bathydemersals (30 - 89 cm),Cod-likes,2459706
Merluccius gayi gayi,South Pacific hake,Medium bathydemersals (30 - 89 cm),Cod-likes,808802
Antimora rostrata,Blue antimora,Medium bathypelagics (30 - 89 cm),Cod-likes,67
Mora moro,Common mora,Medium bathypelagics (30 - 89 cm),Cod-likes,1881
Halargyreus johnsonii,Slender codling,Medium bathypelagics (30 - 89 cm),Cod-likes,2026
